key;name;path;so;
generic;Genérico - OpenSC (32-bit);/usr/lib/opensc-pkcs11.so;linux;
generic 64b;Genérico - OpenSC (64-bit);/usr/lib64/opensc-pkcs11.so;linux;
bit4id 32 bits (izenpe);Izenpe 2012 (32-bit);/usr/lib/libbit4ipki.so;linux;
bit4id 64 bits (izenpe);Izenpe 2012 (64-bit);/usr/lib64/libbit4ipki.so;linux;
dnie-oficial;DNIe (Oficial);/usr/lib/libpkcs11-dnie.so;linux;
dnie-oficial-64;DNIe (Oficial);/usr/lib64/libpkcs11-dnie.so;linux;
dnie-ceres;DNIe - Ceres (FNMT);/usr/lib/libpkcs11-fnmtdnie.so;linux;
dnie-ceres-64;DNIe - Ceres (FNMT);/usr/lib64/libpkcs11-fnmtdnie.so;linux;
dnie-izenpe;DNIe (izenpe);/usr/lib/dniepkcs11.so;linux;
dnie-izenpe-64;DNIe 64-bit (izenpe);/usr/lib64/dniepkcs11.so;linux;
izenpe;Izenpe;c:\\windows\\system32\\aetpkss1.dll;win;
bit4id (izenpe);Izenpe 2012;c:\\windows\\system32\\bit4ipki.dll;win;
dni x64 (64-bit);DNIe (64-bit);C:\\Program Files (x86)\\DNIe\\DNIeCMx64.dll;win
dni x64 (32-bit);DNIe (32-bit);C:\\Program Files (x86)\\DNIe\\DNIeCMx86.dll;win
dni x86 (WinXP, 32-bit);DNIe;c:\\windows\\system32\\UsrPkcs11.dll;win;
dni x86 (32-bit);DNIe;C:\\Program Files\\DNIe\\DNIeCMx86.dll;win
FNMT-RCM;FNMT-RCM;c:\\windows\\system32\\PkcsV2GK.dll;win;
Aladdin pro;Aladdin pro;c:\\windows\\system32\\eTPKCS11.dll;win;
Siemens CardOS 3.2 (ACCV);Siemens CardOS 3.2 (ACCV);c:\\windows\\system32\\siecap11.dll;win;
Siemens CardOS 2.2 (ACCV);Siemens CardOS 2.2 (ACCV);c:\\windows\\system32\\CardOS_PKCS11.dll;win;
camerfirma;Camerfirma;c:\\windows\\system32\\incryptoki2.dll;win;
Siemens CardOS 3.2 (ACCV) Linux;Siemens CardOS 3.2 (ACCV) Linux;/usr/local/lib/libsiecap11.so;linux;
generic;Genérico (32-bit);/Library/OpenSC/lib/opensc-pkcs11.so;mac;
bit4id 32 bits (izenpe);Izenpe 2012 (32-bit);/usr/lib/libbit4ipki.dylib;mac;
bit4id 64 bits (izenpe);Izenpe 2012 (64-bit);/usr/lib64/libbit4ipki.dylib;mac;
